id,Miejscowosc
1,Aral
2,Iradan
3,Xundian
4,Xiawuqi
5,Asnières-sur-Seine
6,Nalsian Norte
7,Axili
8,Jindřichov
9,Miranda
10,Niños Heroes
11,Paraná
12,Niš
13,Bačka Topola
14,Pampachiri
15,El Cerrito
16,Maoshan
17,Koshigaya
18,Airuk
19,Khoyniki
20,Rogachëvo
21,Cawalo
22,Dahua
23,Belén Gualcho
24,Demak
25,Nybro
26,Ōgaki
27,Jiangbei
28,Ngulung Wetan
29,Tallahassee
30,Ejidal
31,Mata Grande
32,Barrosa
33,San Francisco de Yare
34,Kibiya
35,Juiz de Fora
36,Baiju
37,Novopavlovsk
38,Semiring
39,Mullovka
40,Gaotang
41,Qalandiyā
42,Tagana-an
43,Yuetang
44,Planeta Rica
45,Njivice
46,Colonias Unidas
47,Bairan
48,Lazaro Cardenas
49,Chynadiyovo
50,Não Me Toque
51,Badar
52,Zhulan
53,Kizilyurt
54,Alençon
55,Wasagu
56,Iiyama
57,Moyamba
58,Baisha
59,Sipe Sipe
60,Sŭngho 1-tong
61,Garcia Hernandez
62,Charlotte
63,Týrnavos
64,San Pablo
65,Omoa
66,Qingshuihe
67,Sanzhou
68,Tignoan
69,Hudlice
70,Mrgavan
71,Jatiraya
72,Huangtan
73,Mchinji
74,Kangin
75,Chongqing
76,Segong
77,Libertad
78,Sungai Nyamuk
79,Sedlarevo
80,Yunlong
81,Beixiaoying
82,Kuantan
83,Barranca de Upía
84,Simajia
85,Manevychi
86,Mników
87,Rokytne
88,Xiaohe
89,Jabłonowo Pomorskie
90,Tibati
91,Kruševac
92,Adamantina
93,Diriamba
94,Örnsköldsvik
95,Longtian
96,Maria
97,Paraipaba
98,Yelyzavethradka
99,Jincheng
100,Lengkongsari
